t,X,Y,Z,Vx,Vy,Vz
8.5,3760.63,3481.55,-4819.3,-2.51008,6.20127,2.56061
9.5,3758.12,3487.75,-4816.73,-2.51439,6.19728,2.56613
10.5,3755.6,3493.95,-4814.17,-2.51869,6.19328,2.57164
11.5,3753.08,3500.14,-4811.59,-2.52299,6.18928,2.57715
12.5,3750.56,3506.33,-4809.01,-2.52728,6.18527,2.58266
13.5,3748.03,3512.51,-4806.43,-2.53158,6.18125,2.58817
14.5,3745.49,3518.69,-4803.83,-2.53587,6.17722,2.59367
15.5,3742.96,3524.87,-4801.24,-2.54015,6.17319,2.59917
16.5,3740.41,3531.04,-4798.64,-2.54444,6.16915,2.60466
17.5,3737.87,3537.2,-4796.03,-2.54872,6.1651,2.61016
18.5,3735.32,3543.37,-4793.42,-2.553,6.16105,2.61565
19.5,3732.76,3549.53,-4790.8,-2.55727,6.15699,2.62113
20.5,3730.2,3555.68,-4788.17,-2.56155,6.15292,2.62662
21.5,3727.64,3561.83,-4785.54,-2.56582,6.14885,2.6321
22.5,3725.07,3567.98,-4782.91,-2.57008,6.14476,2.63758
23.5,3722.5,3574.12,-4780.27,-2.57435,6.14067,2.64305
24.5,3719.92,3580.26,-4777.62,-2.57861,6.13658,2.64853
25.5,3717.34,3586.39,-4774.97,-2.58287,6.13247,2.654
26.5,3714.76,3592.52,-4772.32,-2.58712,6.12836,2.65946
27.5,3712.17,3598.65,-4769.65,-2.59138,6.12425,2.66493
28.5,3709.57,3604.77,-4766.99,-2.59563,6.12012,2.67039
29.5,3706.98,3610.89,-4764.31,-2.59987,6.11599,2.67585
30.5,3704.37,3617,-4761.63,-2.60412,6.11185,2.6813
31.5,3701.77,3623.11,-4758.95,-2.60836,6.1077,2.68675
32.5,3699.16,3629.22,-4756.26,-2.6126,6.10355,2.6922
33.5,3696.54,3635.32,-4753.57,-2.61683,6.09939,2.69765
34.5,3693.92,3641.42,-4750.86,-2.62106,6.09522,2.70309
35.5,3691.3,3647.51,-4748.16,-2.62529,6.09105,2.70853
36.5,3688.67,3653.6,-4745.45,-2.62952,6.08687,2.71397
37.5,3686.04,3659.69,-4742.73,-2.63374,6.08268,2.7194
38.5,3683.41,3665.77,-4740.01,-2.63797,6.07848,2.72483
39.5,3680.77,3671.84,-4737.28,-2.64218,6.07428,2.73026
40.5,3678.12,3677.91,-4734.55,-2.6464,6.07007,2.73569
41.5,3675.47,3683.98,-4731.81,-2.65061,6.06585,2.74111
42.5,3672.82,3690.05,-4729.07,-2.65482,6.06163,2.74653
43.5,3670.16,3696.11,-4726.32,-2.65902,6.0574,2.75194
44.5,3667.5,3702.16,-4723.56,-2.66323,6.05316,2.75736
45.5,3664.84,3708.21,-4720.8,-2.66743,6.04892,2.76277
46.5,3662.17,3714.26,-4718.04,-2.67162,6.04467,2.76817
47.5,3659.49,3720.3,-4715.27,-2.67582,6.04041,2.77358
48.5,3656.82,3726.34,-4712.49,-2.68001,6.03614,2.77898
49.5,3654.13,3732.37,-4709.71,-2.6842,6.03187,2.78437
50.5,3651.45,3738.4,-4706.92,-2.68838,6.02759,2.78977
51.5,3648.76,3744.43,-4704.13,-2.69257,6.0233,2.79516
52.5,3646.06,3750.45,-4701.33,-2.69675,6.01901,2.80055
53.5,3643.36,3756.47,-4698.53,-2.70092,6.01471,2.80594
54.5,3640.66,3762.48,-4695.72,-2.7051,6.0104,2.81132
55.5,3637.95,3768.49,-4692.9,-2.70927,6.00608,2.8167
56.5,3635.24,3774.49,-4690.09,-2.71343,6.00176,2.82207
57.5,3632.53,3780.49,-4687.26,-2.7176,5.99743,2.82745
58.5,3629.81,3786.49,-4684.43,-2.72176,5.9931,2.83282
59.5,3627.08,3792.48,-4681.6,-2.72592,5.98875,2.83818
60.5,3624.35,3798.46,-4678.75,-2.73007,5.9844,2.84355
61.5,3621.62,3804.45,-4675.91,-2.73422,5.98005,2.84891
62.5,3618.89,3810.42,-4673.06,-2.73837,5.97568,2.85427
63.5,3616.15,3816.4,-4670.2,-2.74252,5.97131,2.85962
64.5,3613.4,3822.37,-4667.34,-2.74666,5.96693,2.86497
65.5,3610.65,3828.33,-4664.47,-2.7508,5.96255,2.87032
66.5,3607.9,3834.29,-4661.6,-2.75494,5.95816,2.87566
67.5,3605.14,3840.25,-4658.72,-2.75908,5.95376,2.88101
68.5,3602.38,3846.2,-4655.83,-2.76321,5.94935,2.88635
69.5,3599.62,3852.15,-4652.95,-2.76733,5.94494,2.89168
70.5,3596.85,3858.09,-4650.05,-2.77146,5.94052,2.89701
71.5,3594.07,3864.03,-4647.15,-2.77558,5.93609,2.90234
72.5,3591.3,3869.96,-4644.25,-2.7797,5.93166,2.90767
73.5,3588.51,3875.89,-4641.34,-2.78382,5.92722,2.91299
74.5,3585.73,3881.82,-4638.42,-2.78793,5.92277,2.91831
75.5,3582.94,3887.74,-4635.5,-2.79204,5.91832,2.92363
76.5,3580.14,3893.65,-4632.57,-2.79615,5.91386,2.92894
77.5,3577.35,3899.56,-4629.64,-2.80025,5.90939,2.93425
78.5,3574.54,3905.47,-4626.7,-2.80435,5.90491,2.93956
79.5,3571.74,3911.37,-4623.76,-2.80845,5.90043,2.94486
80.5,3568.93,3917.27,-4620.81,-2.81254,5.89594,2.95017
81.5,3566.11,3923.17,-4617.86,-2.81663,5.89145,2.95546
82.5,3563.29,3929.06,-4614.9,-2.82072,5.88694,2.96076
83.5,3560.47,3934.94,-4611.94,-2.82481,5.88243,2.96605
84.5,3557.64,3940.82,-4608.97,-2.82889,5.87792,2.97134
85.5,3554.81,3946.7,-4606,-2.83297,5.87339,2.97662
86.5,3551.98,3952.57,-4603.02,-2.83704,5.86886,2.9819
87.5,3549.14,3958.43,-4600.03,-2.84112,5.86433,2.98718
88.5,3546.3,3964.3,-4597.04,-2.84519,5.85978,2.99246
89.5,3543.45,3970.15,-4594.05,-2.84925,5.85523,2.99773
90.5,3540.6,3976.01,-4591.05,-2.85332,5.85067,3.003
91.5,3537.74,3981.85,-4588.04,-2.85738,5.84611,3.00826
92.5,3534.88,3987.7,-4585.03,-2.86143,5.84154,3.01353
93.5,3532.02,3993.54,-4582.02,-2.86549,5.83696,3.01878
94.5,3529.15,3999.37,-4578.99,-2.86954,5.83237,3.02404
95.5,3526.28,4005.2,-4575.97,-2.87359,5.82778,3.02929
96.5,3523.4,4011.03,-4572.94,-2.87763,5.82318,3.03454
97.5,3520.52,4016.85,-4569.9,-2.88167,5.81857,3.03979
98.5,3517.64,4022.66,-4566.86,-2.88571,5.81396,3.04503
99.5,3514.75,4028.48,-4563.81,-2.88975,5.80934,3.05027
100.5,3511.86,4034.28,-4560.76,-2.89378,5.80472,3.0555
